2015-12-04 14:37:22,189 INFO  - Starting HiveMQ Server
2015-12-04 14:37:22,204 INFO  - HiveMQ version: 3.0.2
2015-12-04 14:37:22,204 INFO  - HiveMQ home directory: D:\Wumin Share Data\自動化專案\台北自動化專案\hivemq-3.0.2
2015-12-04 14:37:22,534 WARN  - Could not open/create prefs root node Software\JavaSoft\Prefs at root 0x80000002. Windows RegCreateKeyEx(...) returned error code 5.
2015-12-04 14:37:24,332 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2015-12-04 14:37:25,463 INFO  - The HiveMQ cluster ID is 4b0aadb2-7454-4f81-a88f-f973db042ffe
2015-12-04 14:37:25,619 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2015-12-04 14:37:25,619 INFO  - Loaded Plugin HiveMQ Sys Topic Plugin - v3.0.0
2015-12-04 14:37:25,634 INFO  - JMX Metrics Reporting started.
2015-12-04 14:37:25,650 INFO  - Starting TCP listener on address 0.0.0.0 and port 1883
2015-12-04 14:37:25,759 INFO  - Started TCP Listener on address 0.0.0.0 and on port 1883
2015-12-04 14:37:25,759 INFO  - Started HiveMQ in 3564ms
